#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
276|IC 1801         |14.8| | 1.3| 0.6| |SBB:          |   |02 28 11.8|+19 34 24|Simbad|NED
309|NGC 0943        |11.4| | 3.4|    | |S0^0: pec     |265|02 29 09.4|-10 49 37|Simbad|NED
309|NGC 0942        |11.2| | 3.4|    | |S0: pec       |265|02 29 10.2|-10 50 10|Simbad|NED
258|Hickson 18D     |14.6| |    |    | |S?            |   |02 39 04.6|+18 23 38|Simbad|NED
258|Hickson 18C     |16.1| |    |    | |S?            |   |02 39 05.9|+18 23 18|Simbad|NED
258|UGC 02140       |15.4| | 1.7| 0.7| |IBS9P         |   |02 39 06.2|+18 22 58|Simbad|NED
258|UGC 02140A      |15.5| | 0.9| 0.2| |SB.0*/        |   |02 39 09.3|+18 22 03|Simbad|NED
333|NGC 1024        |12.1| | 3.9| 1.4| |(R')SA(r)ab   |175|02 39 12.2|+10 50 50|Simbad|NED
135|NGC 1023        | 9.3| | 8.8| 3.0| |SB(rs)0-      | 62|02 40 24.0|+39 03 46|Simbad|NED
 37|MESSIER 77      | 8.9| | 7.1| 6.1| |(R)SAB(rs)ab  |220|02 42 40.7|-00 00 47|Simbad|NED
 77|NGC 1097A       |13.6| | 0.8| 0.5| |E5 pec        |354|02 46 09.9|-30 13 45|Simbad|NED
 77|NGC 1097        | 9.2| | 9.4| 6.3| |SB(rs)bc I-II |354|02 46 19.1|-30 16 28|Simbad|NED
131|MCG-03-08-25    |14.5| | 1.0| 0.7| |              |   |02 47 19.8|-14 48 07|Simbad|NED
131|MCG-03-08-26    |15.0| | 0.7| 0.4| |              |   |02 47 33.9|-14 46 30|Simbad|NED
190|UGC 02320       |15.2| | 0.5| 0.3| |Multiple Sys  |   |02 50 19.9|+12 53 22|Simbad|NED
200|NGC 1134        |12.1| | 2.5| 0.9| |S?            |175|02 53 41.1|+13 00 55|Simbad|NED
118|NGC 1143        |13.2| |    |    | |SAB0-:pec/Rng |220|02 55 09.7|-00 10 40|Simbad|NED
118|NGC 1144        |12.9| |    |    | |Im pec/Ring B |220|02 55 11.1|-00 10 37|Simbad|NED
179|NPM1G -04.0134  |16.6| |    |    | |              |   |03 01 40.9|-04 40 18|Simbad|NED
108|ESO 547-G002    |15.0| | 0.6| 0.4| |S0:           |   |03 03 05.5|-22 13 02|Simbad|NED
108|ESO 547-G003    |14.0| | 1.0| 0.7| |SC?           |   |03 03 07.2|-22 12 24|Simbad|NED
332|NGC 1229        |13.9| | 1.4| 0.9| |SB(s)ab: pec  |311|03 08 11.0|-22 57 37|Simbad|NED
332|NGC 1228        |13.2| | 1.5| 0.9| |(R')SB(rs)0   |311|03 08 11.0|-22 55 28|Simbad|NED
332|NGC 1230        |15.4| | 0.6| 0.2| |LB0?P         |   |03 08 16.4|-22 59 03|Simbad|NED
332|MCG-4-8-29      |16.8| | 0.6| 0.3| |S             |   |03 08 26.0|-23 02 17|Simbad|NED
332|IC 1892         |13.2| | 2.0| 1.1| |SB(s)d pec    |311|03 08 27.9|-23 03 04|Simbad|NED
 41|NGC 1232        |10.1| | 7.5| 6.5| |SAB(rs)c I-II |311|03 09 45.3|-20 34 44|Simbad|NED
 41|NGC 1232A       |14.7| | 0.9| 0.8| |SB(s)dm III   |311|03 09 45.3|-20 34 44|Simbad|NED
304|NGC 1241        |12.0| | 2.8| 1.7| |SAB(rs)bc II  |266|03 11 14.7|-08 55 20|Simbad|NED
147|IC 0298         |15.0| | 0.7| 0.5| |Ring A&B      |   |03 11 18.3|+01 18 50|Simbad|NED
304|NGC 1242        |13.7| | 1.2| 0.7| |SB:(s:)cd III |266|03 11 19.2|-08 54 07|Simbad|NED
279|NGC 1253        |11.7| | 5.3| 2.3| |SAB(s)cd      |221|03 14 09.1|-02 49 22|Simbad|NED
279|NGC 1253A       |13.9| | 1.7| 1.0| |IB(s)m pec IV |221|03 14 23.2|-02 48 13|Simbad|NED
154|NGC 1316        | 8.2| |12.1| 8.6| |(R')SAB(s)0^0 |355|03 22 41.5|-37 12 34|Simbad|NED
 39|NGC 1347        |13.0| | 1.6| 1.3| |SB(s)c: pec   |311|03 29 42.0|-22 16 45|Simbad|NED
219|UGC 02812       |14.9| | 0.9| 0.8| |SB pec        |   |03 39 51.9|-02 06 48|Simbad|NED
213|IC 0356         |10.5| | 5.3| 3.9| |SA(s)ab pec   | 18|04 07 47.1|+69 48 47|Simbad|NED
 20|UGC 03014       |14.4| | 1.2| 0.7| |SB?           |   |04 19 53.7|+02 05 43|Simbad|NED
210|NGC 1569        |11.0| | 3.7| 1.8| |IBm IV-V      | 19|04 30 49.0|+64 50 53|Simbad|NED
186|NGC 1614        |13.6| | 1.3| 1.2| |SB(s)c pec    |   |04 33 59.8|-08 34 44|Simbad|NED
 61|UGC 03104       |15.1| | 1.0| 0.5| |Sa            |   |04 36 42.0|-02 17 13|Simbad|NED
180|MCG-01-13-034   |14.8| | 1.1| 0.5| |S             |   |04 53 22.3|-04 48 08|Simbad|NED
259|NGC 1741        |18.5| |    |    | |              |224|05 01 35.4|-04 15 24|Simbad|NED
259|NGC 1741        |15.2| |    |    | |              |224|05 01 35.4|-04 15 50|Simbad|NED
259|NGC 1741        |13.3| | 1.4| 0.7| |Pec Inter Sys |224|05 01 37.8|-04 15 28|Simbad|NED
259|NGC 1741        |15.6| |    |    | |              |224|05 01 38.7|-04 15 34|Simbad|NED
187|MCG-02-13-040A  |15.0| | 0.9| 0.4| |              |   |05 04 53.0|-10 14 52|Simbad|NED
 52|CGCG 421-027    |15.6| |    |    | |              |   |05 19 44.0|+03 43 01|Simbad|NED
327|NGC 1875        |13.6| | 1.6| 0.5| |S0?           |180|05 21 45.9|+06 41 19|Simbad|NED
327|MCG+01-14-031   |18.3| |    |    | |S0            |   |05 21 47.7|+06 41 01|Simbad|NED
327|MCG+01-14-031   |17.1| |    |    | |SBd           |   |05 21 48.9|+06 40 55|Simbad|NED
327|MCG+01-14-031   |17.4| |    |    | |SA0-          |   |05 21 49.9|+06 40 36|Simbad|NED
123|NGC 1888        |12.0| | 3.0| 0.8| |Sb: pec sp    |270|05 22 32.3|-11 29 42|Simbad|NED
123|NGC 1889        |13.3| | 0.7| 0.5| |SAB?(r:)0     |270|05 22 35.3|-11 29 49|Simbad|NED
184|NGC 1961        |11.0| | 4.6| 3.0| |SAB(rs)c II   | 20|05 42 04.4|+69 22 46|Simbad|NED
 96|UGC 03528A      |14.8| | 0.8| 0.6| |DBL SYS       |   |07 03 00.7|+86 36 12|Simbad|NED
 96|UGC 03536A      |14.8| | 0.9|    | |DBL SYS       |   |07 03 22.3|+86 33 28|Simbad|NED
141|UGC 03730       |12.5| | 2.8| 1.5| |Ring          |  6|07 14 20.9|+73 28 51|Simbad|NED
141|UGC 03730       |16.9| |    |    | |Ring          |   |07 14 26.8|+73 28 53|Simbad|NED
 25|NGC 2276        |11.4| | 2.8| 2.7| |SAB(rs)c      |  1|07 27 13.0|+85 45 20|Simbad|NED
114|NGC 2300        |12.1| | 2.8| 2.0| |SA0           |  1|07 32 20.0|+85 42 31|Simbad|NED
250|IRAS F07327+3529|15.0| |    |    | |              |   |07 35 59.7|+35 22 52|Simbad|NED
165|NGC 2418        |12.2| | 1.8|    | |E             |139|07 36 37.8|+17 53 06|Simbad|NED
 17|UGC 03972       |14.7| | 0.9| 0.6| |SB            |   |07 44 32.7|+73 49 50|Simbad|NED
 17|UGC 03972       |    | | 1.1| 0.6| |              |   |07 44 38.5|+73 48 50|Simbad|NED
143|NGC 2444        |13.2| | 1.2| 0.8| |Ring A        | 69|07 46 53.0|+39 01 55|Simbad|NED
143|NGC 2445        |13.3| | 1.4| 1.1| |Ring B        | 69|07 46 54.7|+39 01 01|Simbad|NED
 82|NGC 2535        |12.8| | 2.5| 1.2| |SA(r)c pec I  |140|08 11 13.5|+25 12 26|Simbad|NED
 82|NGC 2536        |14.2| | 0.9| 0.6| |SB(rs)c pec   |140|08 11 16.1|+25 10 45|Simbad|NED
  6|NGC 2537        |12.3| | 1.7| 1.5| |SB(s)m pec    | 69|08 13 14.6|+45 59 28|Simbad|NED
  9|NGC 2523        |11.9| | 3.0| 1.8| |SB(r)bc I     |  7|08 14 59.3|+73 34 49|Simbad|NED
268|Holmberg II     |10.7| | 8.0| 6.3| |Im IV-V       | 22|08 19 06.0|+70 42 51|Simbad|NED
247|IC 2338         |15.4| | 0.6| 0.5| |SXS6P         |   |08 23 32.6|+21 20 17|Simbad|NED
247|UGC 04383       |14.7| |    |    | |DBL SYS       |   |08 23 33.0|+21 20 36|Simbad|NED
247|IC 2339         |15.4| | 1.1| 0.6| |SB(s)c pec    |   |08 23 34.4|+21 20 54|Simbad|NED
 58|UGC 04457       |14.2| | 1.8| 1.0| |SXT5P         |   |08 31 58.1|+19 12 48|Simbad|NED
 12|NGC 2608        |12.2| | 2.3| 1.4| |SB(s)b: II    |102|08 35 17.3|+28 28 24|Simbad|NED
243|NGC 2623        |13.4| |    |    | |P: Trip Coll  |141|08 38 23.7|+25 45 16|Simbad|NED
243|NGC 2623        |13.4| | 2.4| 0.7| |              |141|08 38 24.1|+25 45 01|Simbad|NED
243|NGC 2623        |    | |    |    | |              |141|08 38 24.3|+25 45 17|Simbad|NED
 89|NGC 2648        |12.7| | 3.3| 1.1| |S1            |186|08 42 40.1|+14 17 09|Simbad|NED
 80|NGC 2633        |12.2| | 2.5| 1.6| |SB(s)b I-II   |  7|08 48 06.6|+74 05 58|Simbad|NED
167|NGC 2672        |11.6| | 3.0| 2.8| |E1-2          |141|08 49 22.3|+19 04 30|Simbad|NED
167|NGC 2673        |13.3| | 1.2|    | |E0 pec        |141|08 49 24.1|+19 04 27|Simbad|NED
  7|MCG-03-23-009   |14.5| | 1.3| 1.0| |SB(rs) bc:    |   |08 50 17.6|-16 34 35|Simbad|NED
257|UGC 04638       |17.0| | 1.5| 0.8| |SP            |   |08 51 37.9|-02 21 15|Simbad|NED
257|UGC 04638       |15.0| | 0.6| 0.3| |S pec         |   |08 51 38.3|-02 21 59|Simbad|NED
195|UGC 04653       |14.5| | 1.9| 1.1| |SBS3 - Triple |   |08 53 50.2|+35 08 36|Simbad|NED
336|NGC 2685        |11.2| | 4.5| 2.4| |(R)SB0+ pec   | 44|08 55 35.2|+58 44 01|Simbad|NED
225|NGC 2655        |10.1| | 4.9| 4.1| |SAB(s)0/a     |  7|08 55 38.8|+78 13 28|Simbad|NED
202|NGC 2719        |13.1| | 1.4| 0.3| |Im pec?       |102|09 00 15.4|+35 43 39|Simbad|NED
202|NGC 2719A       |13.5| | 0.9| 0.6| |Im pec:       |102|09 00 15.9|+35 43 12|Simbad|NED
287|NGC 2735        |13.3| | 1.2| 0.4| |SAB(rs)b? pec |142|09 02 38.6|+25 56 06|Simbad|NED
287|NGC 2735A       |15.8| | 0.2|    | |Im: pec       |142|09 02 41.8|+25 56 18|Simbad|NED
215|NGC 2782        |11.7| | 3.5| 2.6| |SAB(rs)a pec  | 70|09 14 05.2|+40 06 51|Simbad|NED
 55|UGC 04881       |14.9| | 1.0| 0.9| |Spiral        |   |09 15 55.6|+44 19 57|Simbad|NED
 55|UGC 04881       |16.6| |    |    | |Spiral        |   |09 16 00.7|+44 21 08|Simbad|NED
283|NGC 2798        |12.3| | 2.6| 1.0| |SB(s)a pec    | 71|09 17 22.8|+41 59 58|Simbad|NED
283|NGC 2799        |14.0| | 1.9| 0.5| |SB(s)m?       | 71|09 17 31.1|+41 59 38|Simbad|NED
315|NGC 2831        |12.3| | 1.4|    | |E0            |103|09 19 45.5|+33 44 40|Simbad|NED
315|NGC 2832        |11.9| | 2.4| 1.9| |E+2           |103|09 19 46.8|+33 44 59|Simbad|NED
285|NGC 2854        |13.0| | 1.7| 0.6| |SB(s)b        | 44|09 24 02.9|+49 12 14|Simbad|NED
285|NGC 2856        |13.1| | 1.1| 0.5| |S?            | 44|09 24 16.3|+49 14 54|Simbad|NED
  1|NGC 2857        |12.2| | 2.3| 2.0| |SA(s)c I-II   | 44|09 24 37.6|+49 21 24|Simbad|NED
307|NGC 2872        |11.9| | 2.1| 1.8| |E2            |188|09 25 42.5|+11 25 55|Simbad|NED
307|NGC 2874        |12.5| | 2.4| 0.7| |SB(r)bc       |188|09 25 47.3|+11 25 28|Simbad|NED
275|NGC 2881        |14.1| |    |    | |              |278|09 25 54.9|-12 00 01|Simbad|NED
275|NGC 2881        |13.3| | 1.1| 0.9| |S?            |278|09 25 54.9|-11 59 01|Simbad|NED
237|UGC 05044       |15.3| |    |    | |SBd           |   |09 27 43.5|+12 17 14|Simbad|NED
237|UGC 05044       |16.0| | 0.4| 0.2| |Im            |   |09 27 44.4|+12 17 17|Simbad|NED
300|UGC 05028       |13.9| | 0.7| 0.4| |SB(s)dm pec   | 23|09 27 50.2|+68 24 47|Simbad|NED
300|UGC 05029       |13.4| | 1.6| 1.0| |Sc            | 23|09 28 02.5|+68 25 17|Simbad|NED
207|UGC 05050       |15.4| | 1.2| 0.2| |S?            |   |09 31 06.8|+76 27 56|Simbad|NED
232|NGC 2911        |11.5| | 4.1| 3.2| |SA(s)0: pec   |188|09 33 46.5|+10 09 08|Simbad|NED
137|NGC 2914        |13.2| | 1.0| 0.7| |SB(s)ab       |188|09 34 02.7|+10 06 31|Simbad|NED
221|MCG-02-25-006   |14.0| | 1.3| 1.1| |              |   |09 36 27.8|-11 19 43|Simbad|NED
142|UGC 05130       |14.4| |    |    | |E+SYS         |   |09 37 43.1|+02 46 15|Simbad|NED
142|NGC 2936        |13.5| | 1.3| 1.1| |I, Ring B     |233|09 37 44.1|+02 45 38|Simbad|NED
142|NGC 2937        |13.6| | 2.1| 0.7| |E, Ring A     |233|09 37 45.0|+02 44 50|Simbad|NED
321|MCG-01-25-009   |13.8| | 1.1| 0.3| |Sbc           |   |09 38 53.2|-04 51 34|Simbad|NED
321|MCG-01-25-008   |15.7| | 1.4| 1.1| |SB(rs)b pec   |   |09 38 53.5|-04 50 56|Simbad|NED
321|MCG-01-25-012   |15.1| | 1.1| 0.7| |SB(s) 0- pec  |   |09 38 55.0|-04 51 58|Simbad|NED
321|MCG-01-25-011   |17.4| | 0.7| 0.3| |SAB(s) a pec  |   |09 38 55.4|-04 51 28|Simbad|NED
321|MCG-01-25-010   |15.0| | 0.9| 0.4| |SA(r) 0- pec  |   |09 38 55.7|-04 50 14|Simbad|NED
 63|NGC 2944        |14.0| | 1.1| 0.4| |SB(s)c pec?   |103|09 39 16.7|+32 18 38|Simbad|NED
 63|NGC 2944        |16.0| | 0.2| 0.1| |              |103|09 39 19.6|+32 18 21|Simbad|NED
129|UGC 05146       |14.0| | 0.5|    | |SB(r)c: pec   |   |09 39 24.4|+32 21 45|Simbad|NED
129|UGC 05146       |16.1| | 0.8| 0.4| |SAB0^0^: pec  |   |09 39 26.3|+32 21 54|Simbad|NED
253|UGCA 173        |16.1| | 1.3| 0.2| |              |   |09 43 24.3|-05 16 46|Simbad|NED
253|UGCA 174        |14.3| | 1.2| 0.4| |              |   |09 43 30.3|-05 16 47|Simbad|NED
252|ESO 566-IG007   |15.3| | 0.8| 0.5| |SB3P?         |   |09 44 58.4|-19 43 32|Simbad|NED
252|ESO 566-IG008   |15.6| | 0.7| 0.5| |S             |   |09 44 59.6|-19 42 45|Simbad|NED
245|NGC 2992        |12.2| | 3.6| 1.1| |S0 pec sp     |278|09 45 42.0|-14 19 35|Simbad|NED
245|NGC 2993        |12.6| | 1.4| 0.9| |I0? pec or    |278|09 45 48.5|-14 22 05|Simbad|NED
303|IC 0563         |14.7| | 0.9| 0.5| |SBR2*P        |   |09 46 20.4|+03 02 41|Simbad|NED
303|IC 0564         |14.1| | 1.7| 0.4| |SAS6$P        |   |09 46 21.1|+03 04 14|Simbad|NED
255|UGC 05304       |14.3| | 1.1| 0.9| |Pair          |   |09 53 08.7|+07 52 50|Simbad|NED
292|IC 0575         |13.2| | 1.7| 1.2| |S1P/          |   |09 54 33.0|-06 51 27|Simbad|NED
337|MESSIER 82      | 8.4| |11.4| 4.3| |I0            | 23|09 55 51.6|+69 40 46|Simbad|NED
174|NGC 3068        |14.3| | 0.9| 0.8| |S0-           |104|09 58 40.1|+28 52 39|Simbad|NED
264|NGC 3104        |13.1| | 3.4| 2.3| |IAB(s)m       | 71|10 03 57.3|+40 45 25|Simbad|NED
338|Arp 338         |    | |    |    | |Pair          |   |10 10 59.5|-07 54 54|Simbad|NED
316|NGC 3187        |13.4| | 3.0| 1.3| |SB(s)c pec    |144|10 17 48.0|+21 52 23|Simbad|NED
316|NGC 3189        |12.0| | 4.4| 1.6| |Sa            |   |10 18 06.1|+21 49 53|Simbad|NED
316|NGC 3193        |10.9| | 3.0| 2.7| |E2            |144|10 18 25.0|+21 53 34|Simbad|NED
 94|NGC 3226        |11.4| | 3.2| 2.8| |E2: pec       |144|10 23 26.9|+19 53 54|Simbad|NED
 94|NGC 3227        |10.3| | 5.4| 3.7| |SAB(s)a pec   |144|10 23 30.6|+19 51 54|Simbad|NED
 43|IC 0607         |13.2| | 1.8| 1.5| |SB(r)bc       |   |10 24 15.4|+16 44 36|Simbad|NED
263|NGC 3239        |11.4| | 5.0| 3.3| |Ib(s)m pec    |144|10 25 05.5|+17 09 35|Simbad|NED
 44|IC 0609         |14.1| | 1.5| 0.7| |IBS9P         |   |10 25 32.7|-02 13 16|Simbad|NED
181|NGC 3212        |13.1| | 1.6| 1.1| |SB?           |  8|10 28 16.5|+79 49 24|Simbad|NED
181|NGC 3215        |13.0| | 1.1| 1.1| |S?            |  8|10 28 41.8|+79 48 48|Simbad|NED
233|UGC 05720       |13.4| | 1.0| 0.9| |Im pec        |   |10 32 32.0|+54 24 03|Simbad|NED
 53|NGC 3290        |14.4| | 1.0| 0.5| |SA(rs:)c: pec |280|10 35 17.2|-17 16 30|Simbad|NED
267|UGC 05764       |14.7| | 2.0| 1.2| |IB(s)m: V     |105|10 36 42.6|+31 32 51|Simbad|NED
192|NGC 3303        |14.3| | 3.1| 2.2| |P             |145|10 36 59.6|+18 08 13|Simbad|NED
217|NGC 3310        |10.8| | 3.1| 2.4| |SAB(r)bc pec  | 46|10 38 46.1|+53 30 07|Simbad|NED
156|UGC 05814       |15.0| | 1.3| 0.7| |Peclr         |   |10 42 38.0|+77 29 40|Simbad|NED
291|UGC 05832       |13.7| | 1.2| 1.0| |SB?           |   |10 42 48.7|+13 27 34|Simbad|NED
270|NGC 3395        |12.1| | 2.1| 1.2| |SAB(rs)cd pec |105|10 49 49.8|+32 58 50|Simbad|NED
270|NGC 3396        |12.2| | 3.1| 1.2| |IBm pec       |105|10 49 56.0|+32 59 24|Simbad|NED
162|NGC 3414        |10.8| | 3.6| 2.6| |S0 pec        |105|10 51 16.2|+27 58 29|Simbad|NED
206|UGC 05983       |17.0| | 0.9| 0.7| |Dwarf         |   |10 52 17.0|+36 35 43|Simbad|NED
107|UGC 05984       |14.6| | 1.9| 1.2| |S?            |   |10 52 18.3|+30 04 03|Simbad|NED
107|UGC 05984       |14.6| |    |    | |              |   |10 52 21.3|+30 05 03|Simbad|NED
206|NGC 3432        |11.3| | 6.8| 1.5| |SB(s)m  III   |105|10 52 31.4|+36 37 12|Simbad|NED
 24|NGC 3445        |12.6| | 1.6| 1.5| |SAB(s)m       | 46|10 54 36.4|+56 59 27|Simbad|NED
205|NGC 3448        |12.0| | 5.7| 1.8| |I0            | 46|10 54 39.0|+54 18 23|Simbad|NED
 24|UGC 06021       |12.8| | 0.5| 0.1| |IRR           |   |10 54 45.4|+56 58 00|Simbad|NED
198|UGC 06073       |15.3| | 1.3| 0.9| |DBL SYS       |   |10 59 45.4|+17 38 54|Simbad|NED
148|MCG+07-23-019   |15.4| | 0.6| 0.5| |Ring          |   |11 04 00.1|+40 50 49|Simbad|NED
335|NGC 3509        |12.7| | 2.1| 1.0| |SA(s)bc pec   |236|11 04 23.7|+04 49 49|Simbad|NED
 21|CGCG 155-056    |14.7| | 0.8| 0.7| |Spiral        |   |11 04 58.5|+30 01 37|Simbad|NED
191|UGC 06175       |14.6| | 1.3| 0.7| |SAB0-pec      |   |11 07 19.6|+18 25 47|Simbad|NED
191|UGC 06175       |14.7| | 0.3| 0.2| |SAB(r)0+ pec  |   |11 07 20.4|+18 25 52|Simbad|NED
301|UGC 06204       |14.5| | 0.8| 0.4| |S             |   |11 09 51.5|+24 15 44|Simbad|NED
301|UGC 06207       |14.6| | 1.5| 0.2| |SB?           |   |11 09 54.3|+24 15 25|Simbad|NED
105|UGC 06224       |14.7| | 0.9|    | |DBL SYS       |   |11 11 12.9|+28 42 42|Simbad|NED
105|NGC 3561        |15.0| | 0.7|    | |SA(r)a pec    |106|11 11 13.1|+28 41 45|Simbad|NED
317|MESSIER 65      | 9.3| | 9.9| 2.9| |SAB(rs)a II   |191|11 18 55.2|+13 05 35|Simbad|NED
132|CGCG 011-053    |15.5| | 0.4| 0.3| |Pair          |   |11 19 21.1|-03 05 26|Simbad|NED
 16|MESSIER 66      | 8.9| | 9.1| 4.2| |SAB(s)b II    |191|11 20 14.9|+12 59 21|Simbad|NED
317|NGC 3628        | 9.5| |14.8| 3.0| |Sb pec sp II  |191|11 20 16.2|+13 35 22|Simbad|NED
 27|NGC 3631        |10.4| | 5.0| 4.8| |SA(s)c I-II   | 46|11 21 02.6|+53 10 16|Simbad|NED
155|ARP 155         |    | |    |    | |              |   |11 23 36.8|+53 49 31|Simbad|NED
155|ARP 155         |    | |    |    | |              |   |11 23 38.1|+53 50 03|Simbad|NED
155|NGC 3656        |12.5| | 1.6| 1.6| |(R')IO:pec    | 46|11 23 38.4|+53 50 30|Simbad|NED
  5|NGC 3664        |12.8| | 2.1| 1.9| |SB(s)m pec    |236|11 24 24.8|+03 19 39|Simbad|NED
151|MRK 0040        |16.8| | 1.3| 0.2| |S0 pec        |   |11 25 36.1|+54 22 57|Simbad|NED
296|MCG+10-17-5     |15.7| | 0.7| 0.4| |Multigalaxy   |   |11 28 49.3|+58 35 26|Simbad|NED
299|MCG+10-17-2A    |    | | 0.3| 0.2| |              |   |11 28 28.5|+58 34 33|Simbad|NED
299|NGC 3690        |11.5| | 2.1| 1.6| |IBm pec       | 46|11 28 33.4|+58 33 47|Simbad|NED
299|IC 0694         |11.3| | 1.2| 1.0| |SBm? pec      | 46|11 28 37.4|+58 33 28|Simbad|NED
197|IC 0701         |14.6| | 1.0| 0.6| |SBT8P         |   |11 31 00.4|+20 28 13|Simbad|NED
203|NGC 3712        |13.9| | 1.7| 0.6| |SB?           |106|11 31 09.1|+28 34 04|Simbad|NED
329|UGC 06514       |16.6| |    |    | |E pec         |   |11 32 05.5|+70 48 23|Simbad|NED
329|UGC 06514       |17.4| |    |    | |SBa pec:      |   |11 32 05.7|+70 48 39|Simbad|NED
329|UGC 06514       |17.6| |    |    | |S0pec         |   |11 32 06.9|+70 49 17|Simbad|NED
329|UGC 06514       |15.9| |    |    | |SA0 pec       |   |11 32 06.9|+70 48 55|Simbad|NED
329|UGC 06514       |18.0| |    |    | |s?            |   |11 32 07.6|+70 49 08|Simbad|NED
322|UGC 06527       |16.4| |    |    | |SB0 pec       |   |11 32 32.7|+52 56 22|Simbad|NED
322|UGC 06527       |17.0| |    |    | |              |   |11 32 35.3|+52 56 50|Simbad|NED
214|NGC 3718        |10.7| | 8.2| 4.0| |SB(s)a pec    | 47|11 32 35.6|+53 03 59|Simbad|NED
322|UGC 06527       |15.8| |    |    | |              |   |11 32 36.7|+52 56 51|Simbad|NED
322|UGC 06527       |15.0| | 1.1| 0.3| |SB0           |   |11 32 40.2|+52 57 01|Simbad|NED
234|NGC 3738        |11.9| | 2.5| 1.9| |Im III-IV     | 47|11 35 48.4|+54 31 28|Simbad|NED
320|NGC 3746        |14.2| | 1.1| 0.5| |SB(r)b        |147|11 37 43.6|+22 00 33|Simbad|NED
280|NGC 3769        |11.8| | 3.1| 1.0| |SB(r)b:       | 73|11 37 44.4|+47 53 28|Simbad|NED
320|NGC 3745        |15.2| | 0.4| 0.2| |SB(s)0-:      |147|11 37 44.5|+22 01 15|Simbad|NED
320|NGC 3748        |14.8| | 0.7| 0.4| |SB0^0^? sp    |147|11 37 49.1|+22 01 33|Simbad|NED
280|NGC 3769A       |14.2| | 1.1| 0.5| |SBm pec III   | 73|11 37 50.3|+47 52 53|Simbad|NED
320|NGC 3750        |13.9| | 0.8| 0.7| |SAB0-? sp     |147|11 37 51.6|+21 58 27|Simbad|NED
320|NGC 3753        |13.6| | 1.7| 0.5| |Sab? pec SB   |147|11 37 53.7|+21 58 51|Simbad|NED
